vivienda_id,rubro_id,avance_pct,fecha_actualizacion
SIM-2025-0001,1,100,16-06-2026
SIM-2025-0001,2,100,16-06-2026
SIM-2025-0001,3,100,16-06-2026
SIM-2025-0001,4,100,16-06-2026
SIM-2025-0001,5,100,16-06-2026
SIM-2025-0001,6,18,16-06-2026
SIM-2025-0001,7,0,16-06-2026
SIM-2025-0001,8,0,16-06-2026
SIM-2025-0001,9,0,16-06-2026
SIM-2025-0001,10,0,16-06-2026
SIM-2025-0001,11,0,16-06-2026
SIM-2025-0001,12,0,16-06-2026
SIM-2025-0001,13,0,16-06-2026
SIM-2025-0001,14,0,16-06-2026
SIM-2025-0001,15,0,16-06-2026
SIM-2025-0002,1,100,16-06-2026
SIM-2025-0002,2,100,16-06-2026
SIM-2025-0002,3,100,16-06-2026
SIM-2025-0002,4,100,16-06-2026
SIM-2025-0002,5,100,16-06-2026
SIM-2025-0002,6,100,16-06-2026
SIM-2025-0002,7,65,16-06-2026
SIM-2025-0002,8,0,16-06-2026
SIM-2025-0002,9,0,16-06-2026
SIM-2025-0002,10,0,16-06-2026
SIM-2025-0002,11,0,16-06-2026
SIM-2025-0002,12,0,16-06-2026
SIM-2025-0002,13,0,16-06-2026
SIM-2025-0002,14,0,16-06-2026
SIM-2025-0002,15,0,16-06-2026
SIM-2024-0003,1,100,16-06-2026
SIM-2024-0003,2,67,16-06-2026
SIM-2024-0003,3,0,16-06-2026
SIM-2024-0003,4,0,16-06-2026
SIM-2024-0003,5,0,16-06-2026
SIM-2024-0003,6,0,16-06-2026
SIM-2024-0003,7,0,16-06-2026
SIM-2024-0003,8,0,16-06-2026
SIM-2024-0003,9,0,16-06-2026
SIM-2024-0003,10,0,16-06-2026
SIM-2024-0003,11,0,16-06-2026
SIM-2024-0003,12,0,16-06-2026
SIM-2024-0003,13,0,16-06-2026
SIM-2024-0003,14,0,16-06-2026
SIM-2024-0003,15,0,16-06-2026
SIM-2026-0004,1,100,16-06-2026
SIM-2026-0004,2,100,16-06-2026
SIM-2026-0004,3,100,16-06-2026
SIM-2026-0004,4,100,16-06-2026
SIM-2026-0004,5,100,16-06-2026
SIM-2026-0004,6,18,16-06-2026
SIM-2026-0004,7,0,16-06-2026
SIM-2026-0004,8,0,16-06-2026
SIM-2026-0004,9,0,16-06-2026
SIM-2026-0004,10,0,16-06-2026
SIM-2026-0004,11,0,16-06-2026
SIM-2026-0004,12,0,16-06-2026
SIM-2026-0004,13,0,16-06-2026
SIM-2026-0004,14,0,16-06-2026
SIM-2026-0004,15,0,16-06-2026
SIM-2026-0005,1,98,16-06-2026
SIM-2026-0005,2,70,16-06-2026
SIM-2026-0005,3,0,16-06-2026
SIM-2026-0005,4,0,16-06-2026
SIM-2026-0005,5,0,16-06-2026
SIM-2026-0005,6,0,16-06-2026
SIM-2026-0005,7,0,16-06-2026
SIM-2026-0005,8,0,16-06-2026
SIM-2026-0005,9,0,16-06-2026
SIM-2026-0005,10,0,16-06-2026
SIM-2026-0005,11,0,16-06-2026
SIM-2026-0005,12,0,16-06-2026
SIM-2026-0005,13,0,16-06-2026
SIM-2026-0005,14,0,16-06-2026
SIM-2026-0005,15,0,16-06-2026
SIM-2025-0006,1,100,16-06-2026
SIM-2025-0006,2,100,16-06-2026
SIM-2025-0006,3,100,16-06-2026
SIM-2025-0006,4,100,16-06-2026
SIM-2025-0006,5,100,16-06-2026
SIM-2025-0006,6,100,16-06-2026
SIM-2025-0006,7,100,16-06-2026
SIM-2025-0006,8,100,16-06-2026
SIM-2025-0006,9,100,16-06-2026
SIM-2025-0006,10,100,16-06-2026
SIM-2025-0006,11,98,16-06-2026
SIM-2025-0006,12,100,16-06-2026
SIM-2025-0006,13,100,16-06-2026
SIM-2025-0006,14,100,16-06-2026
SIM-2025-0006,15,100,16-06-2026
SIM-2026-0007,1,100,16-06-2026
SIM-2026-0007,2,100,16-06-2026
SIM-2026-0007,3,97,16-06-2026
SIM-2026-0007,4,0,16-06-2026
SIM-2026-0007,5,0,16-06-2026
SIM-2026-0007,6,0,16-06-2026
SIM-2026-0007,7,0,16-06-2026
SIM-2026-0007,8,0,16-06-2026
SIM-2026-0007,9,0,16-06-2026
SIM-2026-0007,10,0,16-06-2026
SIM-2026-0007,11,0,16-06-2026
SIM-2026-0007,12,0,16-06-2026
SIM-2026-0007,13,0,16-06-2026
